player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Cardell Williams,156190,QB,TULSA,5,15,25.0,4,4,16.3,2.82,0,0,0.0,25.0,1,3,0.0,5,33.3,0,1,,,,,64.2,60.5,68.6,,60.3,,,,,,0,0,6,33.3,46.9,20.0,1,0,0,0,0,0,0.0,19,4.8,0,320,72.5,70.1,52.7,74.9,80.0,5,7,8.8,2.93,0,0,0.0,57.1,4,3,0.0,10,66.7,0,2,,,,,65.4,50.5,70.1,,48.4,,,60.3,,,0,0,10,0.0,62.2,0.0,0,2,0,2,0,0,0.0,18,2.6,71.4,7,7,12.4,2.29,0,0,0.0,71.4,5,0,0.0,9,60.0,0,3,,,,,65.4,61.4,70.1,,57.7,,,63.1,,,0,0,10,,83.6,0.0,0,1,0,0,0,0,0.0,37,5.3,0,0.0,2,4,11.0,3.8,0,0,0.0,0.0,0,6,,6,40.0,0,0,,,,,64.2,45.2,68.6,,48.8,,,57.0,,,0,0,6,16.7,39.6,16.7,1,1,0,2,0,0,0.0,0,0.0
Ryan Boe,190878,QB,NWESTERN,1,14,20.0,5,8,14.8,2.84,1,0,0.0,12.5,1,5,0.0,9,64.3,0,1,,,,,16.7,24.8,69.8,,25.1,,,,,,1,1,9,20.0,0.0,11.1,1,0,0,1,0,2,22.2,18,2.3,0,256,20.6,26.7,26.8,,60.0,5,5,7.8,2.7,0,0,0.0,60.0,3,1,0.0,5,35.7,0,2,,,,,63.8,49.1,68.1,,49.2,,,,,,0,0,5,0.0,72.1,0.0,0,0,0,0,0,0,0.0,24,4.8,37.5,8,8,10.6,2.53,0,0,0.0,37.5,3,0,0.0,8,57.1,0,2,,,,,64.9,36.1,69.5,,36.5,,,,,,0,1,8,,6.3,0.0,0,0,0,0,0,1,12.5,24,3.0,0,50.0,2,5,14.0,3.15,1,0,0.0,20.0,1,6,0.0,6,42.9,0,1,,,,,13.4,25.4,68.6,,25.7,,,,,,1,0,6,16.7,42.1,16.7,1,0,0,1,0,1,16.7,18,3.6
Julian Sayin,183708,QB,OHIO STATE,4,14,40.0,5,5,14.4,2.81,0,0,0.0,40.0,2,1,0.0,7,50.0,0,2,,,,,64.6,59.2,69.1,,56.1,,,62.5,,,0,0,7,0.0,125.8,0.0,0,2,0,0,1,0,0.0,61,12.2,0,260,66.2,58.3,55.4,62.5,66.7,6,7,6.7,2.51,0,0,0.0,42.9,3,1,25.0,7,50.0,1,2,,,,,64.6,57.0,69.1,,56.8,,,,,,1,0,7,0.0,51.5,0.0,0,0,0,0,0,0,0.0,23,3.3,60.0,10,10,8.0,2.57,0,0,0.0,50.0,5,0,16.7,12,85.7,1,4,,,,,65.8,61.5,70.7,,59.4,,,62.5,,,0,0,12,,112.1,0.0,0,2,0,0,1,0,0.0,84,8.4,0,0.0,1,2,32.0,3.25,0,0,0.0,0.0,0,2,,2,14.3,0,0,,,,,61.8,49.4,65.5,,49.6,,,,,,1,0,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Ui Ale,173036,QB,HOUSTON,2,14,66.7,3,3,10.3,2.2,0,0,0.0,66.7,2,1,0.0,3,21.4,0,2,,,,,62.7,76.6,66.6,,76.1,,,,,,0,0,3,0.0,113.9,0.0,0,0,0,0,1,0,0.0,12,4.0,0,182,68.0,73.6,77.1,55.5,90.0,10,10,6.3,2.36,0,0,0.0,80.0,8,2,11.1,11,78.6,1,4,,,,,65.6,72.3,70.4,,71.9,,,,,,0,0,11,50.0,108.3,9.1,1,0,0,0,0,0,0.0,100,10.0,81.8,11,11,7.4,1.93,0,0,0.0,72.7,8,0,11.1,11,78.6,1,5,,,,,65.6,78.7,70.4,,78.1,,,,,,0,0,11,,129.7,0.0,0,0,0,0,1,0,0.0,97,8.8,0,100.0,2,2,6.5,3.8,0,0,0.0,100.0,2,3,0.0,3,21.4,0,1,,,,,62.7,63.3,66.6,,63.1,,,,,,0,0,3,33.3,97.9,33.3,1,0,0,0,0,0,0.0,15,7.5
Connor Moberly,184835,QB,IOWA STATE,2,14,33.3,3,3,12.3,1.64,0,0,0.0,33.3,1,2,0.0,5,35.7,0,0,,,,,64.2,47.0,69.1,,48.7,54.3,,,,,0,0,6,50.0,42.4,20.0,1,0,0,0,0,0,0.0,7,2.3,0,193,70.0,61.7,54.5,67.1,71.4,7,7,7.9,2.86,0,0,0.0,57.1,4,0,20.0,9,64.3,1,2,,,,,65.1,55.6,69.8,,62.4,,,52.8,,,0,1,9,,35.1,0.0,0,2,0,0,0,0,0.0,42,6.0,55.6,9,9,10.3,2.51,0,0,0.0,44.4,4,0,20.0,12,85.7,1,2,,,,,66.0,49.0,71.2,,54.6,54.3,,52.8,,,0,1,13,,19.0,0.0,0,2,0,0,0,0,0.0,42,4.7,0,100.0,1,1,-1.0,1.9,0,0,0.0,100.0,1,2,0.0,2,14.3,0,0,,,,,61.8,58.9,65.5,,58.9,,,,,,0,0,2,50.0,95.8,50.0,1,0,0,0,0,0,0.0,7,7.0
Chayden Peery,143925,QB,FIU,1,14,80.0,5,5,8.6,1.97,0,1,14.3,80.0,4,3,0.0,6,42.9,0,2,,,,,64.9,65.4,69.5,,65.1,,,,,,0,0,8,33.3,142.9,16.7,1,0,0,0,1,0,0.0,44,8.8,0,166,72.5,71.1,60.8,70.7,60.0,5,7,5.6,3.45,0,0,0.0,42.9,3,4,0.0,8,57.1,0,0,,,,,64.9,52.1,69.5,,55.3,,,57.3,,,0,0,8,0.0,50.3,0.0,0,1,0,2,0,0,0.0,14,2.0,85.7,7,7,2.4,1.9,0,0,0.0,85.7,6,0,0.0,7,50.0,0,1,,,,,64.6,52.8,69.1,,52.7,,,,,,0,0,7,,84.5,0.0,0,0,0,0,0,0,0.0,30,4.3,0,33.3,3,5,18.0,3.73,0,1,14.3,20.0,1,7,0.0,7,50.0,0,1,,,,,65.1,64.1,69.8,,67.9,,,57.3,,,0,0,9,14.3,90.0,14.3,1,1,0,2,1,0,0.0,28,5.6
Ken Seals,124359,QB,TCU,5,14,100.0,4,6,2.5,1.99,2,0,0.0,66.7,4,2,0.0,7,50.0,0,2,,,,,64.6,64.0,69.1,,67.8,,,57.8,,,0,0,7,0.0,93.1,0.0,0,1,0,0,0,0,0.0,51,8.5,0,305,26.8,51.4,67.6,42.3,100.0,6,7,-1.7,2.03,0,0,0.0,85.7,6,1,0.0,7,50.0,0,3,,,,,64.6,63.7,69.1,,63.5,,,,,,0,0,7,0.0,133.6,0.0,0,0,0,1,1,0,0.0,46,6.6,100.0,10,11,0.0,1.63,1,0,0.0,90.9,10,0,0.0,11,78.6,0,5,,,,,65.6,71.1,70.4,,70.7,,,,,,0,0,11,,133.7,0.0,0,0,0,0,1,0,0.0,97,8.8,0,,0,2,,3.4,1,0,0.0,0.0,0,3,,3,21.4,0,0,,,,,62.7,50.2,66.6,,55.4,,,57.8,,,0,0,3,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0
Braden Bohannon,160367,QB,KENNESAW,1,13,100.0,1,1,15.0,1.45,0,0,0.0,100.0,1,0,0.0,2,15.4,0,1,,,,,61.8,71.1,65.5,,70.7,,,,,,0,0,2,,118.8,0.0,0,0,0,0,0,0,0.0,30,30.0,0,200,23.1,32.0,46.4,36.7,55.6,9,10,9.9,2.75,0,0,0.0,40.0,4,2,20.0,11,84.6,1,1,,,,,65.6,38.2,70.4,,40.2,,,57.0,,,0,0,11,0.0,47.9,0.0,0,1,0,1,0,1,9.1,21,2.1,66.7,9,9,8.6,2.44,0,0,0.0,55.6,5,0,16.7,11,84.6,1,2,,,,,65.6,50.7,70.4,,53.2,,,57.0,,,0,0,11,,72.0,0.0,0,1,0,0,0,1,9.1,51,5.7,1,0.0,1,2,27.0,3.15,0,0,0.0,0.0,0,2,,2,15.4,0,0,,,,,61.8,40.9,65.5,,41.4,,,,,,0,0,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Jake Merklinger,184888,QB,TENNESSEE,2,12,0.0,1,1,-3.0,3.9,0,0,0.0,0.0,0,1,,1,8.3,0,0,,,,,60.3,56.0,63.6,,56.8,,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,307,69.3,64.9,64.8,60.2,100.0,7,8,5.7,2.84,0,0,0.0,75.0,6,4,14.3,11,91.7,1,4,,,,,65.6,65.2,70.4,,68.3,,,57.3,,,1,0,11,50.0,89.6,18.2,2,1,0,0,0,0,0.0,48,6.0,100.0,6,6,5.0,2.56,0,0,0.0,100.0,6,0,0.0,7,58.3,0,4,,,,,64.6,63.0,69.1,,66.9,,,57.3,,,0,0,7,,100.0,0.0,0,1,0,0,0,0,0.0,48,8.0,0,50.0,2,3,3.5,3.44,0,0,0.0,0.0,0,5,100.0,5,41.7,1,0,,,,,63.8,59.4,68.1,,59.2,,,,,,1,0,5,40.0,39.6,40.0,2,0,0,0,0,0,0.0,0,0.0
Roman Gagliano,183961,QB,MIDDLE TN,2,12,25.0,4,4,4.5,2.5,0,0,0.0,25.0,1,1,0.0,5,41.7,0,0,,,,,63.8,27.4,68.1,,25.2,,,64.3,,,0,0,5,0.0,39.6,0.0,0,1,0,0,0,1,20.0,1,0.3,0,224,65.8,55.9,47.6,64.3,83.3,6,6,6.7,2.53,0,1,16.7,66.7,4,1,20.0,7,58.3,1,1,,,,,64.6,87.5,69.1,,86.9,,,,,,0,0,7,100.0,86.1,14.3,1,0,0,0,0,0,0.0,41,6.8,66.7,9,9,5.3,2.4,0,1,11.1,55.6,5,0,16.7,10,83.3,1,1,,,,,65.4,52.0,70.1,,46.3,,,64.3,,,0,0,10,,67.8,0.0,0,1,0,0,0,1,10.0,42,4.7,0,0.0,1,1,10.0,3.1,0,0,0.0,0.0,0,2,,2,16.7,0,0,,,,,61.8,59.4,65.5,,59.3,,,,,,0,0,2,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Will Perry,184159,QB,UMASS,1,12,66.7,3,3,10.7,1.9,0,0,0.0,33.3,1,0,50.0,3,25.0,1,1,,,,,62.7,63.3,66.6,,63.1,,,,,,0,0,3,,57.6,0.0,0,0,0,0,0,0,0.0,20,6.7,1,216,65.8,65.7,72.4,57.3,85.7,7,8,10.1,2.94,0,0,0.0,75.0,6,4,0.0,9,75.0,0,4,,,,,65.1,65.1,0.0,,73.7,,,57.3,,,0,0,9,0.0,131.3,0.0,0,1,0,1,1,0,0.0,52,6.5,71.4,7,8,11.3,2.03,0,0,0.0,50.0,4,0,20.0,8,66.7,1,3,,,,,64.9,67.4,69.5,,67.0,,,,,,0,0,8,,67.7,0.0,0,0,0,1,0,0,0.0,46,5.8,1,100.0,3,3,8.0,4.0,0,0,0.0,100.0,3,4,0.0,4,33.3,0,2,,,,,63.3,59.7,0.0,,74.1,,,57.3,,,0,0,4,0.0,142.4,0.0,0,1,0,0,1,0,0.0,26,8.7
Ahmad Haston,173396,QB,UMASS,3,12,75.0,4,4,7.8,2.84,0,0,0.0,75.0,3,1,0.0,5,41.7,0,1,,,,,63.8,65.6,68.1,,71.0,,,57.3,,,0,0,5,0.0,77.1,0.0,0,1,0,0,0,0,0.0,11,2.8,0,216,75.1,83.3,70.6,75.0,100.0,5,5,0.4,2.5,0,0,0.0,100.0,5,1,0.0,7,58.3,0,1,,,,,64.6,65.9,69.1,,64.4,,,61.8,,,0,0,7,0.0,90.0,0.0,0,2,0,0,0,0,0.0,28,5.6,87.5,8,8,4.3,2.41,0,0,0.0,87.5,7,0,0.0,10,83.3,0,2,,,,,65.4,71.1,70.1,,70.6,,,61.8,,,0,0,10,,87.0,0.0,0,2,0,0,0,0,0.0,39,4.9,0,100.0,1,1,-1.0,3.8,0,0,0.0,100.0,1,2,0.0,2,16.7,0,0,,,,,61.8,54.7,65.5,,61.0,,,57.3,,,0,0,2,0.0,79.2,0.0,0,1,0,0,0,0,0.0,0,0.0
Jayden Mandal,173516,QB,FRESNO ST,4,11,100.0,1,1,1.0,2.75,0,0,0.0,100.0,1,2,0.0,2,18.2,0,0,,,,,62.7,72.9,66.6,,72.5,,,,,,0,0,3,50.0,100.0,50.0,1,0,0,0,0,0,0.0,8,8.0,0,169,67.0,39.8,35.9,60.0,42.9,7,8,14.6,3.39,0,0,0.0,37.5,3,3,0.0,9,81.8,0,3,,,,,65.4,28.3,70.1,,29.0,,,56.3,,,0,2,10,0.0,9.9,0.0,0,1,0,1,0,2,20.0,31,3.9,40.0,5,5,17.4,3.27,0,0,0.0,40.0,2,0,0.0,6,54.5,0,2,,,,,64.6,42.8,69.1,,46.6,,,56.3,,,0,1,7,,15.0,0.0,0,1,0,0,0,1,14.3,23,4.6,0,66.7,3,4,5.3,3.28,0,0,0.0,50.0,2,5,0.0,5,45.5,0,1,,,,,64.2,34.7,68.6,,35.0,,,,,,0,1,6,20.0,20.8,20.0,1,0,0,1,0,1,16.7,16,4.0
Gunnar Gray,171202,QB,BUFFALO,1,11,42.9,7,9,8.6,2.37,0,0,0.0,33.3,3,2,0.0,9,81.8,0,1,,,,,65.1,44.9,69.8,,45.0,,,,,,0,1,9,0.0,4.2,0.0,0,0,0,2,0,1,11.1,30,3.3,0,126,66.7,43.1,45.1,60.0,50.0,2,2,5.5,1.6,0,0,0.0,50.0,1,0,0.0,2,18.2,0,1,,,,,61.8,56.2,65.5,,56.2,,,,,,0,0,2,,66.7,0.0,0,0,0,0,0,0,0.0,11,5.5,37.5,8,9,7.1,2.11,0,0,0.0,33.3,3,0,0.0,9,81.8,0,1,,,,,65.1,35.7,69.8,,35.9,,,,,,0,1,9,,2.8,0.0,0,0,0,1,0,1,11.1,23,2.6,1,100.0,1,2,14.0,2.75,0,0,0.0,50.0,1,2,0.0,2,18.2,0,1,,,,,61.8,74.5,65.5,,74.0,,,,,,0,0,2,0.0,81.3,0.0,0,0,0,1,0,0,0.0,18,9.0
Tim Carpenter,190715,QB,TULSA,4,11,66.7,3,3,13.0,3.5,0,1,33.3,33.3,1,1,50.0,4,36.4,1,1,,,,,63.3,75.3,67.4,,82.4,,,57.0,,,0,0,4,0.0,74.3,0.0,0,1,0,0,0,1,25.0,32,10.7,0,320,72.1,80.6,61.5,78.4,60.0,5,6,17.8,2.29,0,0,0.0,50.0,3,1,0.0,7,63.6,0,3,,,,,65.1,62.8,69.8,,46.6,,,76.1,,,0,0,9,0.0,95.8,0.0,0,1,1,0,2,0,0.0,14,2.3,62.5,8,9,16.0,2.03,0,1,10.0,44.4,4,0,20.0,9,81.8,1,3,,,,,65.6,65.9,70.4,,61.5,,,64.3,,,0,0,11,,100.0,0.0,0,0,1,0,2,1,9.1,46,5.1,0,,0,0,,5.85,0,0,,,0,2,,2,18.2,0,1,,,,,61.8,72.4,65.5,,,,,66.7,,,0,0,2,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0,
Bert Emanuel Jr.,158581,QB,C MICHIGAN,3,10,75.0,4,4,16.0,2.74,0,2,50.0,75.0,3,3,0.0,7,70.0,0,3,,,,,64.6,77.1,69.5,,88.8,,,52.7,,,0,0,7,33.3,156.3,14.3,1,2,0,0,1,0,0.0,92,23.0,0,134,43.2,65.6,61.7,62.3,50.0,2,2,10.5,3.97,0,0,0.0,50.0,1,1,0.0,3,30.0,0,0,,,,,62.7,28.9,66.6,,29.1,,,,,,0,0,3,100.0,97.9,33.3,1,0,0,0,1,1,33.3,7,3.5,60.0,5,5,12.6,2.68,0,1,20.0,60.0,3,0,0.0,6,60.0,0,2,,,,,64.2,49.4,69.1,,52.5,,,57.0,,,0,0,6,,143.8,0.0,0,1,0,0,1,1,16.7,77,15.4,0,100.0,1,1,22.0,3.75,0,1,100.0,100.0,1,4,0.0,4,40.0,0,1,,,,,63.3,67.6,67.4,,74.3,,,57.3,,,0,0,4,50.0,158.3,50.0,2,1,0,0,1,0,0.0,22,22.0
Reese Poffenbarger,145346,QB,MIAMI FL,1,10,75.0,4,4,7.0,2.68,0,0,0.0,75.0,3,0,0.0,5,50.0,0,2,,,,,12.1,37.7,68.1,,38.0,,,,,,0,0,5,,83.3,20.0,1,0,0,0,0,1,20.0,18,4.5,0,220,20.3,61.2,43.6,74.9,100.0,3,3,-1.7,2.98,0,0,0.0,100.0,3,2,0.0,5,50.0,0,1,,,,,63.8,69.2,68.1,,61.4,,,64.2,,,0,0,5,50.0,79.2,20.0,1,1,0,0,0,0,0.0,2,0.7,85.7,7,7,3.3,2.36,0,0,0.0,85.7,6,0,0.0,8,80.0,0,2,,,,,15.7,44.2,69.5,,44.3,,,,,,0,0,8,,79.2,12.5,1,0,0,0,0,1,12.5,20,2.9,0,,0,0,,4.7,0,0,,,0,2,,2,20.0,0,1,,,,,61.8,67.5,65.5,,60.0,,,64.2,,,0,0,2,50.0,0.0,50.0,1,1,0,0,0,0,0.0,0,
Nate Hampton,147548,QB,LIBERTY,1,10,0.0,1,1,-4.0,2.2,0,0,0.0,0.0,0,1,,1,10.0,0,0,,,,,60.3,56.0,63.6,,56.8,,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,206,65.4,43.9,44.8,57.0,28.6,7,8,20.6,3.27,1,1,12.5,25.0,2,3,0.0,9,90.0,0,2,,,,,65.1,44.9,69.8,,47.4,,,57.0,,,0,1,9,0.0,47.9,0.0,0,1,0,0,1,1,11.1,40,5.0,40.0,5,6,20.0,3.13,1,1,16.7,33.3,2,0,0.0,6,60.0,0,2,,,,,64.2,71.9,68.6,,71.5,,,,,,0,0,6,,97.2,0.0,0,0,0,0,1,0,0.0,40,6.7,0,0.0,3,3,13.3,3.2,0,0,0.0,0.0,0,4,,4,40.0,0,0,,,,,63.3,25.8,67.4,,25.9,,,57.0,,,0,1,4,0.0,0.0,0.0,0,1,0,0,0,1,25.0,0,0.0
Jalen Macon,153929,QB,N ILLINOIS,1,9,,0,0,,3.0,0,0,,,0,0,,1,11.1,0,1,,,,,60.3,67.1,63.6,,,,,63.1,,,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,254,68.3,79.1,75.2,68.3,85.7,7,7,4.7,2.96,0,0,0.0,57.1,4,4,33.3,8,88.9,2,4,,,,,64.9,70.7,69.5,,75.2,,,57.3,,,0,0,8,0.0,79.5,0.0,0,1,0,0,0,0,0.0,50,7.1,100.0,3,3,8.7,3.02,0,0,0.0,100.0,3,0,0.0,5,55.6,0,4,,,,,63.8,79.4,68.1,,82.8,,,60.6,,,0,0,5,,118.8,0.0,0,2,0,0,0,0,0.0,39,13.0,0,75.0,4,4,1.8,2.9,0,0,0.0,25.0,1,4,66.7,4,44.4,2,1,,,,,63.3,57.6,67.4,,57.5,,,,,,0,0,4,0.0,39.6,0.0,0,0,0,0,0,0,0.0,11,2.8
Cameran Brown,184894,QB,TEXAS TECH,2,9,50.0,2,2,6.0,1.4,0,0,0.0,50.0,1,0,0.0,2,22.2,0,0,,,,,61.8,54.8,65.5,,54.8,,,,,,0,0,2,,58.3,0.0,0,0,0,0,0,0,0.0,7,3.5,0,315,71.6,42.7,27.6,69.0,42.9,7,7,4.9,1.81,0,0,0.0,42.9,3,0,0.0,7,77.8,0,0,,,,,64.6,26.6,69.9,,26.6,60.0,,,,,0,1,7,,10.7,0.0,0,0,0,0,0,1,14.3,4,0.6,44.4,9,9,5.1,1.72,0,0,0.0,44.4,4,0,0.0,9,100.0,0,0,,,,,65.1,27.3,69.8,,27.6,,,,,,0,1,9,,12.0,0.0,0,0,0,0,0,1,11.1,11,1.2,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,59.0,63.4,,,60.0,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Davis Beville,99588,QB,S CAROLINA,3,9,100.0,4,4,4.0,2.78,0,0,0.0,100.0,4,3,0.0,4,44.4,0,3,,,,,63.3,72.0,67.4,,71.7,,,,,,0,0,4,0.0,147.9,0.0,0,0,0,0,1,0,0.0,40,10.0,0,289,69.1,69.3,60.8,69.3,66.7,3,3,20.0,3.36,0,0,0.0,33.3,1,2,50.0,5,55.6,1,0,,,,,63.8,50.0,68.1,,50.0,,,,,,0,0,5,100.0,42.4,40.0,2,0,0,0,0,0,0.0,6,2.0,75.0,4,4,16.8,2.5,0,0,0.0,50.0,2,0,33.3,4,44.4,1,1,,,,,63.3,54.0,67.4,,54.0,,,,,,0,0,4,,63.5,0.0,0,0,0,0,0,0,0.0,19,4.8,0,100.0,3,3,3.0,3.58,0,0,0.0,100.0,3,5,0.0,5,55.6,0,2,,,,,63.8,67.8,68.1,,67.5,,,,,,0,0,5,40.0,143.8,40.0,2,0,0,0,1,0,0.0,27,9.0
Dante Moore,173983,QB,OREGON,4,9,100.0,3,3,0.3,1.83,0,0,0.0,100.0,3,0,0.0,3,33.3,0,3,,,,,62.7,56.8,66.6,,56.8,,,,,,0,0,3,,104.2,0.0,0,0,0,0,0,0,0.0,27,9.0,0,264,70.5,58.4,57.7,59.3,100.0,4,5,0.5,2.9,0,0,0.0,80.0,4,2,0.0,6,66.7,0,1,,,,,64.9,56.7,70.0,,59.3,,,57.8,,,0,0,8,0.0,85.0,0.0,0,1,0,1,0,0,0.0,22,4.4,100.0,7,7,0.4,1.99,0,0,0.0,100.0,7,0,0.0,7,77.8,0,4,,,,,65.1,59.1,69.8,,58.9,,,,,,0,0,9,,95.8,0.0,0,0,0,0,0,0,0.0,49,7.0,0,,0,1,,4.5,0,0,0.0,0.0,0,2,,2,22.2,0,0,,,,,61.8,51.8,66.5,,60.0,,,57.8,,,0,0,2,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0
Broc Lowry,173383,QB,W MICHIGAN,5,9,50.0,2,3,5.0,2.38,1,0,0.0,33.3,1,1,0.0,4,44.4,0,1,,,,,63.3,58.0,67.4,,57.9,,,,,,0,0,4,100.0,42.4,25.0,1,0,0,0,0,0,0.0,9,3.0,0,347,76.9,81.1,55.5,76.4,66.7,3,3,1.0,2.68,0,0,0.0,66.7,2,1,0.0,5,55.6,0,1,,,,,63.8,58.2,68.1,,56.0,,,60.8,,,0,0,5,0.0,70.1,0.0,0,2,0,0,0,0,0.0,7,2.3,60.0,5,6,2.6,2.34,1,0,0.0,50.0,3,0,0.0,7,77.8,0,2,,,,,64.6,63.1,69.1,,57.1,,,63.2,,,0,0,7,,56.3,0.0,0,1,0,0,0,0,0.0,16,2.7,0,,0,0,,3.25,0,0,,,0,2,,2,22.2,0,0,,,,,61.8,50.6,65.5,,60.0,,,57.3,,,0,0,2,50.0,0.0,50.0,1,1,0,0,0,0,0.0,0,
